Year,Athlete,Country/State,Time,Notes,Gender
1966,Bobbi Gibb,United States (MA),3:21:40,(unsanctioned)[4],women
1967,Bobbi Gibb,United States (CA),3:27:17,(unsanctioned) 2nd victory[4],women
1968,Bobbi Gibb,United States (CA),3:30:00,(unsanctioned) 3rd victory[4],women
1969,Sara Mae Berman,United States (MA),3:22:46,(unsanctioned)[4],women
1970,Sara Mae Berman,United States (MA),3:05:07,(unsanctioned) 2nd victory[4],women
1971,Sara Mae Berman,United States (MA),3:08:30,(unsanctioned) 3rd victory[4],women
1972,Nina Kuscsik,United States (NY),3:10:26,first year that women were officially sanctioned,women
1973,Jacqueline Hansen,United States (CA),3:05:59,,women
1974,Miki Gorman,United States (CA),2:47:11,,women
1975,Liane Winter,West Germany,2:42:24,,women
1976,Kim Merritt,United States (WI),2:47:10,,women
1977,Miki Gorman,United States (CA),2:48:33,2nd victory,women
1978,Gayle Barron,United States (GA),2:44:52,,women
1979,Joan Benoit,United States (ME),2:35:15,,women
1980,Jacqueline Gareau,Canada,2:34:28,[5],women
1981,Allison Roe,New Zealand,2:26:46,,women
1982,Charlotte Teske,West Germany,2:29:33,,women
1983,Joan Benoit,United States (ME),2:22:43,2nd victory,women
1984,Lorraine Moller,New Zealand,2:29:28,,women
1985,Lisa Larsen Weidenbach,United States (MI),2:34:06,,women
1986,Ingrid Kristiansen,Norway,2:24:55,,women
1987,Rosa Mota,Portugal,2:25:21,,women
1988,Rosa Mota,Portugal,2:24:30,2nd victory,women
1989,Ingrid Kristiansen,Norway,2:24:33,2nd victory,women
1990,Rosa Mota,Portugal,2:25:24,3rd victory,women
1991,Wanda Panfil,Poland,2:24:18,,women
1992,Olga Markova,Russia,2:23:43,,women
1993,Olga Markova,Russia,2:25:27,2nd victory,women
1994,Uta Pippig,Germany,2:21:45,,women
1995,Uta Pippig,Germany,2:25:11,2nd victory,women
1996,Uta Pippig,Germany,2:27:12,3rd victory,women
1997,Fatuma Roba,Ethiopia,2:26:23,,women
1998,Fatuma Roba,Ethiopia,2:23:21,2nd victory,women
1999,Fatuma Roba,Ethiopia,2:23:25,3rd victory,women
2000,Catherine Ndereba,Kenya,2:26:11,,women
2001,Catherine Ndereba,Kenya,2:23:53,2nd victory,women
2002,Margaret Okayo,Kenya,2:20:43,,women
2003,Svetlana Zakharova,Russia,2:25:19,,women
2004,Catherine Ndereba,Kenya,2:24:27,3rd victory,women
2005,Catherine Ndereba,Kenya,2:25:12,4th victory,women
2006,Rita Jeptoo,Kenya,2:23:38,,women
2007,Lidiya Grigoryeva,Russia,2:29:18,,women
2008,Dire Tune,Ethiopia,2:25:25,2 seconds ahead of 2nd-place finisher,women
2009,Salina Kosgei,Kenya,2:32:16,1 second ahead of 2nd-place finisher,women
2010,Teyba Erkesso,Ethiopia,2:26:11,3 seconds ahead of 2nd-place finisher,women
2011,Caroline Kilel,Kenya,2:22:36,2 seconds ahead of 2nd-place finisher,women
2012,Sharon Cherop,Kenya,2:31:50,2 seconds ahead of 2nd-place finisher,women
2013,Rita Jeptoo,Kenya,2:26:25,2nd victory,women
2014,Rita Jeptoo,Kenya,2:18:57,"Course record later disqualified[6]",women
2014,Bizunesh Deba,Ethiopia,2:19:59,,women
2015,Caroline Rotich,Kenya,2:24:55,,women
2016,Atsede Baysa,Ethiopia,2:29:19,,women
2017,Edna Kiplagat,Kenya,2:21:52,,women
1897,John J. McDermott,United States (NY),2:55:10,,men
1898,Ronald J. MacDonald,Canada,2:42:00,,men
1899,Lawrence Brignolia,United States (MA),2:54:38,,men
1900,"John ""Jack"" Caffery",Canada,2:39:44,,men
1901,"John ""Jack"" Caffery",Canada,2:29:23,2nd victory,men
1902,Sammy Mellor,United States (NY),2:43:12,,men
1903,John Lorden,United States (MA),2:41:29,,men
1904,Michael Spring,United States (NY),2:38:04,,men
1905,Frederick Lorz,United States (NY),2:38:25,,men
1906,Tim Ford,United States (MA),2:45:45,,men
1907,Thomas Longboat,Canada,2:24:24,,men
1908,Thomas Morrissey,United States (NY),2:25:43,,men
1909,Henri Renaud,United States (NH),2:53:36,,men
1910,Fred Cameron,Canada,2:28:52,,men
1911,Clarence DeMar,United States (MA),2:21:39,,men
1912,Michael J. Ryan,United States (NY),2:21:18,,men
1913,Fritz Carlson,United States (MN),2:25:14,,men
1914,James Duffy,Canada,2:25:14,,men
1915,Édouard Fabre,Canada,2:31:41,,men
1916,Arthur Roth,United States (MA),2:27:16,,men
1917,Bill Kennedy,United States (NY),2:28:37,,men
1918,Camp Devens relay team[3],United States (MA),2:29:53,1918 race was relay for 10-man military teams,men
1919,Carl Linder,United States (MA),2:29:13,,men
1920,Peter Trivoulides,Greece,2:29:31,Represented Greece at Olympic Games later that year,men
1921,Frank Zuna,United States (NY),2:18:57,,men
1922,Clarence DeMar,United States (MA),2:18:10,2nd victory,men
1923,Clarence DeMar,United States (MA),2:23:47,3rd victory,men
1924,Clarence DeMar,United States (MA),2:29:40,4th victory,men
1925,Charles Mellor,United States (IL),2:33:00,,men
1926,Johnny Miles,Canada,2:25:40,,men
1927,Clarence DeMar,United States (MA),2:40:22,5th victory,men
1928,Clarence DeMar,United States (MA),2:37:07,6th victory,men
1929,Johnny Miles,Canada,2:33:08,2nd victory,men
1930,Clarence DeMar,United States (MA),2:34:48,7th victory,men
1931,James Henigan,United States (MA),2:46:45,,men
1932,Paul de Bruyn,Germany,2:33:36,,men
1933,Leslie S. Pawson,United States (RI),2:31:01,,men
1934,Dave Komonen,Canada,2:32:53,,men
1935,John A. Kelley,United States (MA),2:32:07,,men
1936,Ellison Brown,United States (RI),2:33:40,,men
1937,Walter Young,Canada,2:33:20,,men
1938,Leslie S. Pawson,United States (RI),2:35:34,2nd victory,men
1939,Ellison Brown,United States (RI),2:28:51,2nd victory,men
1940,Gérard Côté,Canada,2:28:28,,men
1941,Leslie S. Pawson,United States (RI),2:30:38,3rd victory,men
1942,Joe Smith,United States (MA),2:26:51,,men
1943,Gérard Côté,Canada,2:28:25,2nd victory,men
1944,Gérard Côté,Canada,2:31:50,3rd victory,men
1945,John A. Kelley,United States (MA),2:30:40,2nd victory,men
1946,Stylianos Kyriakides,Greece,2:29:27,,men
1947,Suh Yun-bok,South Korea,2:25:39,,men
1948,Gérard Côté,Canada,2:31:02,4th victory,men
1949,Gösta Leandersson,Sweden,2:31:50,,men
1950,Ham Kee-Yong,South Korea,2:32:39,,men
1951,Shigeki Tanaka,Japan,2:27:45,,men
1952,Doroteo Flores,Guatemala,2:31:53,Only Guatemalan to ever win the marathon,men
1953,Keizo Yamada,Japan,2:18:51,,men
1954,Veikko Karvonen,Finland,2:20:39,,men
1955,Hideo Hamamura,Japan,2:18:22,,men
1956,Antti Viskari,Finland,2:14:14,,men
1957,John J. Kelley,United States (CT),2:20:05,,men
1958,Franjo Mihalić,Yugoslavia,2:25:54,,men
1959,Eino Oksanen,Finland,2:22:42,,men
1960,Paavo Kotila,Finland,2:20:54,,men
1961,Eino Oksanen,Finland,2:23:39,2nd victory,men
1962,Eino Oksanen,Finland,2:23:48,3rd victory,men
1963,Aurèle Vandendriessche,Belgium,2:18:58,,men
1964,Aurèle Vandendriessche,Belgium,2:19:59,2nd victory,men
1965,Morio Shigematsu,Japan,2:16:33,,men
1966,Kenji Kimihara,Japan,2:17:11,,men
1967,Dave McKenzie,New Zealand,2:15:45,,men
1968,Amby Burfoot,United States (CT),2:22:17,,men
1969,Yoshiaki Unetani,Japan,2:13:49,,men
1970,Ron Hill,United Kingdom,2:10:30,,men
1971,Álvaro Mejía,Colombia,2:18:45,,men
1972,Olavi Suomalainen,Finland,2:15:39,,men
1973,Jon Anderson,United States (OR),2:16:03,,men
1974,Neil Cusack,Ireland,2:13:39,,men
1975,Bill Rodgers,United States (MA),2:09:55,,men
1976,Jack Fultz,United States (VA),2:20:19,,men
1977,Jerome Drayton,Canada,2:14:46,,men
1978,Bill Rodgers,United States (MA),2:10:13,2nd victory,men
1979,Bill Rodgers,United States (MA),2:09:27,3rd victory,men
1980,Bill Rodgers,United States (MA),2:12:11,4th victory,men
1981,Toshihiko Seko,Japan,2:09:26,,men
1982,Alberto Salazar,United States (MA),2:08:52,,men
1983,Greg Meyer,United States (MI),2:09:00,,men
1984,Geoff Smith,United Kingdom,2:10:34,,men
1985,Geoff Smith,United Kingdom,2:14:05,2nd victory,men
1986,Robert de Castella,Australia,2:07:51,,men
1987,Toshihiko Seko,Japan,2:11:50,2nd victory,men
1988,Ibrahim Hussein,Kenya,2:08:43,,men
1989,Abebe Mekonnen,Ethiopia,2:09:06,,men
1990,Gelindo Bordin,Italy,2:08:19,,men
1991,Ibrahim Hussein,Kenya,2:11:06,2nd victory,men
1992,Ibrahim Hussein,Kenya,2:08:14,3rd victory,men
1993,Cosmas Ndeti,Kenya,2:09:33,,men
1994,Cosmas Ndeti,Kenya,2:07:15,"2nd victory",men
1995,Cosmas Ndeti,Kenya,2:09:22,3rd victory,men
1996,Moses Tanui,Kenya,2:09:15,,men
1997,Lameck Aguta,Kenya,2:10:34,,men
1998,Moses Tanui,Kenya,2:07:34,2nd victory,men
1999,Joseph Chebet,Kenya,2:09:52,,men
2000,Elijah Lagat,Kenya,2:09:47,,men
2001,Lee Bong-Ju,South Korea,2:09:43,,men
2002,Rodgers Rop,Kenya,2:09:02,,men
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11,,men
2004,Timothy Cherigat,Kenya,2:10:37,,men
2005,Hailu Negussie,Ethiopia,2:11:44,,men
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14,2nd victory,men
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13,3rd victory,men
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:45,4th victory,men
2009,Deriba Merga,Ethiopia,2:08:42,,men
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,,men
2011,Geoffrey Mutai,Kenya,2:03:02,Current men's course record,men
2012,Wesley Korir,Kenya,2:12:40,,men
2013,Lelisa Desisa Benti,Ethiopia,2:10:22,,men
2014,Meb Keflezighi,United States (CA),2:08:37,First American win since 1983,men
2015,Lelisa Desisa Benti,Ethiopia,2:09:17,2nd victory,men
2016,Lemi Berhanu Hayle,Ethiopia,2:12:45,,men
2017,Geoffrey Kirui,Kenya,2:09:37,,men